,A1,A2,A3
0,140,140,140
1,138,138,140
2,138,136,140
3,136,136,140
4,136,136,140
5,136,136,140
6,136,134,138
7,134,132,134
8,130,132,132
9,128,130,132
10,127,130,132
11,123,130,130
12,121,130,130
13,121,130,130
14,121,130,128
15,119,130,124
16,119,128,124
17,119,126,124
18,117,126,122
19,117,122,118
20,117,122,118
21,117,122,116
22,117,120,111
23,117,120,109
24,117,118,109
25,117,118,109
26,117,114,105
27,117,114,105
28,117,114,105
29,117,113,105
30,117,113,105
31,117,111,105
32,117,111,103
33,117,111,103
34,117,111,103
35,117,109,101
36,117,109,101
37,115,109,101
38,115,109,101
39,115,109,101
40,115,109,99
41,115,107,98
42,115,107,98
43,115,104,98
44,115,104,96
45,115,103,96
46,115,103,96
47,115,103,95
48,115,100,93
49,113,100,93
50,113,100,93
51,113,100,93
52,113,100,90
53,113,100,90
54,113,100,90
55,113,100,90
56,113,100,89
57,111,100,89
58,111,100,89
59,111,100,89
60,109,98,89
61,109,98,89
62,109,98,89
63,109,98,89
64,109,97,89
65,109,97,89
66,109,97,89
67,109,97,89
68,109,96,87
69,109,96,87
70,107,96,87
71,107,96,87
72,107,94,87
73,107,94,87
74,107,94,87
75,107,94,85
76,107,94,83
77,107,94,83
78,107,94,79
79,107,92,78
80,107,92,78
81,107,92,78
82,107,92,78
83,105,92,78
84,105,90,75
85,105,90,73
86,105,90,73
87,105,90,73
88,105,90,73
89,105,89,73
90,105,89,71
91,105,89,71
92,105,87,71
93,105,87,71
94,105,87,69
95,105,87,69
96,105,87,69
97,105,87,68
98,105,87,68
99,105,87,67
100,105,87,67
101,105,87,65
102,105,87,63
103,105,87,61
104,103,85,61
105,103,85,61
106,103,85,61
107,103,85,58
108,101,85,58
109,100,85,57
110,100,85,57
111,100,85,55
112,100,82,55
113,100,82,55
114,100,82,52
115,98,82,50
116,98,81,50
117,98,81,50
118,98,81,50
119,98,79,50
120,98,78,50
121,96,78,50
122,96,78,50
123,96,75,50
124,96,75,50
125,96,75,50
126,96,75,50
127,96,75,50
128,96,73,50
129,96,71,50
130,96,71,50
131,96,71,50
132,96,71,50
133,96,71,50
134,96,71,48
135,96,71,44
136,96,71,42
137,96,71,42
138,96,71,40
139,96,70,40
140,96,70,40
141,96,70,40
142,95,70,40
143,95,70,40
144,94,69,40
145,94,69,40
146,94,69,40
147,94,69,40
148,92,69,40
149,92,67,40
150,92,67,40
151,92,66,40
152,92,66,40
153,92,66,40
154,92,66,40
155,92,66,40
156,92,66,40
157,92,66,40
158,92,66,40
159,92,66,40
160,92,66,40
161,92,66,39
162,92,66,39
163,90,66,39
164,90,66,39
165,90,65,37
166,90,65,37
167,90,65,37
168,90,65,37
169,90,65,35
170,90,65,35
171,90,65,35
172,90,65,35
173,89,65,35
174,89,65,35
175,89,65,35
176,89,65,35
177,89,65,35
178,89,65,35
179,89,65,35
180,89,65,34
181,89,65,34
182,89,65,34
183,89,64,33
184,89,64,33
185,89,64,33
186,89,64,33
187,89,63,33
188,87,63,33
189,87,63,33
190,87,63,33
191,87,63,33
192,85,63,33
193,85,63,33
194,85,63,31
195,85,63,31
196,85,63,31
197,85,62,31
198,84,62,31
199,84,62,31
200,81,62,31
201,81,62,31
202,81,62,31
203,81,62,31
204,81,62,31
205,81,62,31
206,81,62,31
207,81,62,31
208,81,62,31
209,81,61,31
210,81,61,31
211,81,59,31
212,79,59,31
213,79,59,31
214,79,59,31
215,79,58,31
216,79,58,31
217,79,58,31
218,79,58,31
219,79,57,29
220,79,57,29
221,79,57,29
222,79,55,29
223,79,55,29
224,79,55,29
225,79,55,29
226,79,55,28
227,79,55,28
228,79,55,28
229,78,55,28
230,78,55,28
231,78,55,28
232,78,55,28
233,78,55,28
234,78,55,28
235,78,55,28
236,78,55,28
237,78,55,27
238,78,55,26
239,76,55,26
240,76,55,26
241,75,55,26
242,75,55,26
243,75,55,24
244,75,55,24
245,75,55,24
246,75,55,24
247,75,54,24
248,75,54,24
249,75,52,24
250,75,52,24
251,75,52,24
252,75,52,24
253,75,51,24
254,75,49,24
255,75,49,24
256,75,49,24
257,75,49,24
258,75,49,24
259,75,49,24
260,75,49,24
261,75,49,24
262,75,49,23
263,75,49,23
264,75,49,23
265,75,49,23
266,73,49,23
267,73,49,23
268,73,49,23
269,73,49,23
270,73,49,22
271,72,49,22
272,70,49,22
273,70,49,22
274,70,49,22
275,70,49,22
276,70,49,22
277,70,49,22
278,70,49,22
279,70,49,20
280,70,47,20
281,70,47,20
282,70,47,20
283,70,47,20
284,70,46,20
285,70,46,20
286,70,46,20
287,70,46,20
288,70,46,20
289,70,45,20
290,70,45,20
291,70,45,20
292,70,45,20
293,70,45,20
294,70,45,20
295,70,45,20
296,70,45,20
297,70,45,20
298,70,45,20
299,70,45,20
300,70,45,20
301,70,45,20
302,69,45,20
303,69,44,20
304,69,44,20
305,69,43,20
306,69,43,20
307,69,43,20
308,69,43,20
309,67,43,19
310,67,43,19
311,67,43,19
312,67,43,18
313,66,43,18
314,66,41,17
315,66,41,17
316,66,41,17
317,66,41,17
318,66,41,17
319,66,41,17
320,66,41,17
321,66,41,17
322,66,40,17
323,66,40,17
324,66,40,17
325,66,40,17
326,66,40,17
327,66,40,17
328,66,40,17
329,66,40,17
330,66,40,17
331,66,40,17
332,66,40,17
333,66,40,17
334,66,40,17
335,66,40,17
336,66,40,17
337,66,40,17
338,66,40,17
339,66,40,17
340,66,40,17
341,66,40,17
342,66,40,17
343,66,40,17
344,65,40,17
345,65,40,17
346,65,40,16
347,65,40,16
348,65,40,16
349,65,40,16
350,65,40,15
351,65,40,15
352,65,40,15
353,65,40,15
354,65,40,15
355,65,40,15
356,65,40,15
357,65,40,15
358,65,40,15
359,65,40,15
360,65,40,15
361,65,40,15
362,65,40,15
363,65,40,15
364,65,40,15
365,65,40,15
366,65,40,15
367,65,40,15
368,65,40,15
369,65,40,15
370,65,40,15
371,65,40,15
372,65,40,15
373,65,40,15
374,65,40,15
375,65,40,15
376,65,40,15
377,65,40,15
378,65,40,15
379,65,38,15
380,65,38,15
381,65,38,15
382,65,38,15
383,64,38,15
384,64,38,15
385,64,38,15
386,64,38,15
387,64,35,15
388,64,35,15
389,64,35,15
390,64,35,15
391,64,35,15
392,64,35,15
393,64,35,13
394,64,35,13
395,64,35,13
396,64,35,13
397,64,35,13
398,64,35,13
399,62,35,13
